,id,tweet,label,misclassified
5,6,Low #vitaminD was an independent predictor of worse prognosis in patients with COVID-19. https://t.co/CGD6Kphn31 https://t.co/chtni8K4Jd,real,True
10,11,"Two interesting correlations:

1) Children tend to weather COVID-19 pretty well; they also get a ton of Vitamin D.

2) Black people are getting slammed by COVID-19; black people also have much higher instances of Vitamin D deficiency (76% vs 40% in the general population).",fake,True
45,46,"🤝 As business continue to adapt their services in the wake of covid-19, the SWA Hand Sanitiser Portal is available for sourcing #handsanitiser and ethanol for producing sanitiser.

🖊️ Complete your details and find suppliers here: https://t.co/b7uLQbfQLz https://t.co/5qJQ5h8w6l",fake,True
63,64,Three docs have been getting attention for their letters to BMJ urging more attention for mild yet very long term forms of COVID-19. https://t.co/pEeJn2XOSg,real,True
111,112,???You see suicide rates are skyrocketing now?????�,fake,True
163,164,Bechara Covid19 se down hai else he would have give a nice acceptance speech. Dad this is for you https://t.co/8yZfJ0TK6V https://t.co/3rnfijiwOb,fake,True
170,171,The only way to tell if a kid just has a cold (and can go to school) is robust rapid testing for #coronavirus — and right now we don't have it. https://t.co/plBZSPGv8A via @methodsmanmd https://t.co/L5tHkB1njK,real,True
183,184,#Florida smashes record for most new COVID-19 cases any state has in a single day https://t.co/gqtofPbOAd,fake,True
192,193,UN Secretary-General António Guterres has told Sky News coronavirus has put the eradication of poverty 'in question' and taken some aspects of progress 25 years back. Get the latest #coronavirus news here: https://t.co/KDlBk9yMP7 https://t.co/eKG5N1Pl4M,real,True
199,200,A Christchurch person discussed yesterday as being under further investigation has now been confirmed as not a case of COVID-19. The investigation has been closed.​⁣⁣,real,True
218,219,Enanthem in a patient with a skin rash is a useful finding to help diagnose COVID-19 Spanish medical experts suggest. https://t.co/L0tB45oqk0 https://t.co/zbrKAX073H,real,True
240,241,@sandylocks is a celebrated legal scholar. She’s been hosting Under the Blacklight at the @AAPolicyForum to look at “the intersectional vulnerabilities that COVID lays bare.” https://t.co/QGrwVHYbmM,real,True
267,268,"Keep your newborn more than 6 feet away from you as much as possible. Discuss with your healthcare provider about using a physical barrier (for example, placing the newborn in an incubator) while in the hospital.",fake,True
277,278,This year Election Night could be chaotic. In addition to coping with an unprecedented number of mail ballots COVID requires election officials to provide clean socially distanced in-person voting and grapple with a likely shortage of election workers. https://t.co/ZTe3utWuFp,fake,True
281,282,"Local badass only washes hands for 15 seconds #handwashing #CoronaLockdown 
https://t.co/pbWtYGBYYa https://t.co/2LJhHYcnpB",fake,True
302,303,"Donald Trump has claimed he ""up-played"" the seriousness of the coronavirus pandemic - despite admitting earlier this year he had ""wanted to always play it down"" https://t.co/wEgnnZzrNW",real,True
319,320,@carenkarpenter There are big studies and findings on corresponding relationships between covid and vitamin D levels in patients.,fake,True
322,323,3 stages to COVID brain damage identified. https://t.co/UWEHkMD7Z7,real,True
343,344,Doctor operated and took out the kidney of a covid patient,fake,True
348,349,The chairman of the British Medical Association Dr Chaand Nagpaul says that wearing face masks is “extremely important” explaining that they prevent “about 80 percent of virus spreading from one person to the other”. #KayBurley: https://t.co/C5rHb4KKxV https://t.co/Iez62hsksO,real,True
349,350,“She drew a difference between these protests against police brutality and the protests earlier this spring which opposed mask mandates and social-distancing rules.”,real,True
384,385,"Nation's moms form vigilante gang to make sure you get that cough checked out

https://t.co/rFgS6n0lum #ColdAndFlu #Winter #Coronavid19 https://t.co/m7JKPvx6Xo",fake,True
385,386,#BillGates is shocked that America’s pandemic response is “among the worst in the world.https://t.co/mQmubG97rg via @WebMD,real,True
394,395,85% of American adults believe in wearing masks. https://t.co/ec76ZcWOvu,real,True
404,405,Coronavirus: 'Chaos' as drivers queue for hours for COVID-19 tests before being turned away https://t.co/VQSlcel47P,real,True
